[Metadata]
Chronomia, Lime, 115002
1, 16544, 0
3, 16676, 0
2, 16809, 0
0, 16941, 0
1, 17073, 0
3, 17205, 0
2, 17337, 0
0, 17469, 0
1, 17602, 0
0, 17734, 0
2, 17866, 0
1, 17998, 0
3, 17998, 128
0, 18130, 0
2, 18262, 0
1, 18395, 0
2, 18527, 0
0, 18659, 0
1, 18791, 0
2, 18923, 128
3, 19055, 0
0, 19187, 0
3, 19320, 0
1, 19452, 0
0, 19584, 0
3, 19716, 0
1, 19848, 0
3, 19980, 0
0, 20113, 0
1, 20113, 0
0, 20509, 0
1, 20509, 0
3, 20509, 0
0, 20906, 0
2, 20906, 0
3, 20906, 0
0, 21302, 0
1, 21302, 0
3, 21302, 0
1, 21699, 0
3, 21831, 0
2, 21897, 0
0, 21963, 0
1, 22029, 0
2, 22095, 0
0, 22227, 0
1, 22227, 0
3, 22227, 0
2, 22359, 0
0, 22491, 0
1, 22624, 0
2, 22756, 0
3, 22756, 0
0, 22888, 0
1, 23020, 0
2, 23152, 0
0, 23284, 0
3, 23284, 0
1, 23350, 0
2, 23417, 0
3, 23549, 0
2, 23681, 0
0, 23813, 0
1, 23813, 0
3, 23945, 0
1, 24077, 0
0, 24210, 0
1, 24342, 0
3, 24342, 0
2, 24408, 0
1, 24474, 0
0, 24606, 0
2, 24738, 0
1, 24870, 0
3, 24870, 0
0, 25002, 0
2, 25135, 0
3, 25267, 0
0, 25399, 0
1, 25399, 0
2, 25531, 0
0, 25663, 0
1, 25795, 0
0, 25928, 0
3, 25928, 0
2, 26060, 0
1, 26192, 0
0, 26324, 0
3, 26324, 0
1, 26456, 0
2, 26456, 0
3, 26588, 0
0, 26721, 0
2, 26853, 0
1, 26985, 0
3, 26985, 0
0, 27117, 0
2, 27249, 0
1, 27381, 0
0, 27513, 0
3, 27513, 0
1, 27580, 0
2, 27646, 0
3, 27778, 0
1, 27910, 0
0, 28042, 0
2, 28042, 0
3, 28174, 0
0, 28306, 0
1, 28439, 0
2, 28571, 0
3, 28571, 0
0, 28703, 0
1, 28835, 0
2, 28967, 0
0, 29099, 0
3, 29099, 0
1, 29232, 0
2, 29364, 0
3, 29496, 0
0, 29628, 0
2, 29628, 0
1, 29760, 0
3, 29892, 0
0, 30024, 0
1, 30024, 0
2, 30024, 0
3, 30289, 0
1, 30421, 0
2, 30553, 0
0, 30685, 0
1, 30685, 0
3, 30685, 0
2, 30817, 0
0, 30950, 0
1, 31082, 0
2, 31214, 0
3, 31214, 0
1, 31346, 0
0, 31478, 0
3, 31610, 0
0, 31743, 0
1, 31743, 0
2, 31809, 0
3, 31875, 0
0, 32007, 0
1, 32139, 0
0, 32271, 0
3, 32271, 0
2, 32403, 0
3, 32536, 0
1, 32668, 0
0, 32800, 0
2, 32800, 0
3, 32932, 0
1, 33064, 0
2, 33196, 0
0, 33328, 0
3, 33328, 0
1, 33461, 0
3, 33593, 0
0, 33725, 0
1, 33857, 0
2, 33857, 0
3, 33989, 0
1, 34121, 0
0, 34254, 0
2, 34386, 0
3, 34386, 0
1, 34518, 0
2, 34650, 0
1, 34782, 0
3, 34782, 0
0, 34914, 0
2, 34914, 0
1, 35047, 0
3, 35179, 0
0, 35311, 0
1, 35443, 0
2, 35443, 0
3, 35575, 0
2, 35707, 0
1, 35839, 0
0, 35972, 0
3, 35972, 0
2, 36038, 0
1, 36104, 0
0, 36236, 0
2, 36368, 0
1, 36500, 0
3, 36500, 0
2, 36632, 0
3, 36765, 0
0, 36897, 0
1, 37029, 0
2, 37029, 0
3, 37161, 0
0, 37293, 0
1, 37425, 0
0, 37558, 0
2, 37558, 0
3, 37690, 0
1, 37822, 0
2, 37954, 0
0, 38086, 0
3, 38086, 0
1, 38218, 0
2, 38350, 0
0, 38417, 0
1, 38483, 0
2, 38549, 0
3, 38615, 0
0, 38681, 0
1, 38747, 0
2, 38813, 0
3, 38879, 0
1, 38945, 0
0, 39011, 0
2, 39077, 0
1, 39143, 0
3, 39143, 0
2, 39276, 0
0, 39342, 0
1, 39408, 0
2, 39474, 0
3, 39540, 0
1, 39606, 0
0, 39672, 0
3, 39738, 0
2, 39804, 0
1, 39870, 0
0, 39936, 0
2, 40002, 0
3, 40069, 0
1, 40135, 0
2, 40201, 0
3, 40267, 0
0, 40333, 0
1, 40399, 0
2, 40465, 0
3, 40531, 0
1, 40597, 0
0, 40663, 0
2, 40729, 0
1, 40795, 0
0, 40862, 0
3, 40928, 0
2, 40994, 0
0, 41126, 0
1, 41258, 0
3, 41258, 0
2, 41390, 0
1, 41522, 0
2, 41588, 0
0, 41654, 0
3, 41654, 0
1, 41787, 0
2, 41919, 0
3, 41919, 0
0, 42051, 0
1, 42183, 0
2, 42183, 0
3, 42315, 0
2, 42447, 0
1, 42580, 0
0, 42712, 0
2, 42844, 0
3, 42844, 0
0, 42976, 0
1, 42976, 0
2, 43108, 0
3, 43240, 0
0, 43373, 0
1, 43373, 0
2, 43439, 0
3, 43505, 0
0, 43571, 0
1, 43637, 0
2, 43703, 0
3, 43769, 0
1, 43835, 0
0, 43901, 0
2, 44033, 0
3, 44033, 0
0, 44165, 0
1, 44298, 128
2, 44298, 0
0, 44562, 128
3, 44826, 0
2, 44892, 0
1, 44958, 0
0, 45024, 0
3, 45091, 0
2, 45157, 0
0, 45223, 0
1, 45223, 0
3, 45289, 0
2, 45355, 0
0, 45421, 0
1, 45487, 0
3, 45487, 0
0, 45619, 0
2, 45619, 0
1, 45884, 0
2, 45884, 0
0, 46280, 0
2, 46280, 0
1, 46412, 0
3, 46412, 0
1, 46676, 0
2, 46676, 0
3, 46809, 0
2, 46875, 0
1, 46941, 0
0, 47007, 0
3, 47073, 0
2, 47139, 0
0, 47205, 0
1, 47271, 0
2, 47337, 0
3, 47403, 0
0, 47469, 0
1, 47536, 0
2, 47602, 0
3, 47602, 0
0, 47734, 0
1, 47734, 0
2, 47998, 0
3, 47998, 0
0, 48395, 0
1, 48395, 0
2, 48527, 0
3, 48527, 0
0, 48791, 0
1, 48791, 0
2, 48923, 0
3, 48989, 0
0, 49055, 0
1, 49121, 0
2, 49187, 0
3, 49254, 0
0, 49320, 0
1, 49386, 0
3, 49452, 0
2, 49518, 0
1, 49584, 0
0, 49650, 0
2, 49716, 0
3, 49716, 0
0, 49980, 0
1, 49980, 128
2, 50245, 128
3, 50245, 0
0, 50509, 128
1, 50509, 0
2, 50773, 0
3, 50773, 128
0, 51038, 0
2, 51038, 128
1, 51302, 128
3, 51302, 0
0, 51566, 0
3, 51566, 128
0, 51831, 0
2, 51831, 128
1, 52095, 0
0, 52359, 128
3, 52359, 0
1, 52624, 0
2, 52624, 128
0, 52888, 0
3, 52888, 128
2, 53152, 0
0, 53417, 0
1, 53417, 128
2, 53681, 128
3, 53681, 0
0, 53945, 0
3, 53945, 128
1, 54210, 0
2, 54342, 0
0, 54474, 128
3, 54474, 0
2, 54738, 0
1, 55002, 0
3, 55267, 0
2, 55531, 0
1, 55795, 0
0, 56060, 0
3, 56060, 0
2, 56192, 0
0, 56324, 0
1, 56324, 0
2, 56588, 0
3, 56588, 0
1, 56721, 0
0, 56985, 0
3, 56985, 0
2, 57117, 0
0, 57381, 0
1, 57381, 0
3, 57513, 0
2, 57580, 0
1, 57646, 0
0, 57778, 0
2, 57778, 0
3, 58042, 0
1, 58174, 0
0, 58240, 0
3, 58306, 0
2, 58373, 0
0, 58439, 128
1, 58439, 0
2, 58703, 0
1, 58835, 0
3, 58835, 128
2, 59099, 0
0, 59232, 0
1, 59232, 128
3, 59496, 0
0, 59628, 128
2, 59628, 0
1, 59892, 0
3, 60024, 0
2, 60157, 0
0, 60289, 0
1, 60355, 0
2, 60421, 0
3, 60487, 0
0, 60553, 128
1, 60553, 0
3, 60817, 0
1, 60950, 0
2, 60950, 128
0, 61214, 0
1, 61346, 0
3, 61346, 128
2, 61610, 0
0, 61743, 128
1, 61743, 0
2, 62007, 0
3, 62139, 0
1, 62271, 0
0, 62403, 0
2, 62403, 0
1, 62668, 0
3, 62800, 0
0, 62932, 0
1, 63064, 0
2, 63196, 0
3, 63328, 0
0, 63461, 0
2, 63461, 0
1, 63593, 0
3, 63725, 0
0, 63857, 0
2, 63857, 0
1, 64254, 0
2, 64254, 0
0, 64518, 0
3, 64518, 0
0, 64914, 0
2, 64914, 0
1, 65311, 0
3, 65575, 0
2, 65619, 0
1, 65663, 0
0, 66104, 0
1, 66500, 0
2, 66500, 0
0, 66632, 0
3, 66632, 0
0, 69276, 128
1, 69804, 128
2, 70333, 128
0, 70862, 0
1, 70862, 0
3, 70862, 0
2, 70994, 0
1, 71126, 0
2, 71258, 0
0, 71390, 0
1, 71522, 0
3, 71654, 0
2, 71787, 0
1, 71919, 0
3, 71919, 0
0, 72051, 0
1, 72183, 0
2, 72315, 0
3, 72315, 0
0, 72447, 0
1, 72580, 0
2, 72712, 0
3, 72712, 0
0, 72844, 0
1, 72844, 0
2, 72976, 0
1, 73108, 0
3, 73108, 0
0, 73240, 0
2, 73240, 0
1, 73373, 0
3, 73505, 0
0, 73637, 0
1, 73769, 0
2, 73901, 0
0, 74033, 0
3, 74033, 0
1, 74165, 0
2, 74298, 0
3, 74298, 0
0, 74430, 0
1, 74562, 0
3, 74562, 0
2, 74694, 0
0, 74826, 0
1, 74826, 0
2, 74958, 0
0, 75091, 0
3, 75091, 0
1, 75223, 0
2, 75355, 0
0, 75487, 0
3, 75619, 0
2, 75751, 0
1, 75884, 0
2, 76016, 0
0, 76148, 0
1, 76148, 0
3, 76280, 0
2, 76412, 0
0, 76544, 0
1, 76544, 0
3, 76676, 0
2, 76809, 0
1, 76941, 0
0, 76941, 0
2, 77073, 0
3, 77073, 0
1, 77205, 0
0, 77337, 0
3, 77469, 0
2, 77602, 0
0, 77734, 0
3, 77866, 0
2, 77998, 0
1, 78130, 0
0, 78262, 0
3, 78262, 0
2, 78395, 0
0, 78527, 0
1, 78527, 0
2, 78659, 0
1, 78791, 0
3, 78791, 0
0, 78923, 0
2, 79055, 0
3, 79055, 0
1, 79187, 0
0, 79320, 0
2, 79320, 0
3, 79452, 0
1, 79584, 0
2, 79716, 0
3, 79848, 0
0, 79980, 0
1, 80113, 0
3, 80245, 0
0, 80377, 0
2, 80377, 0
1, 80509, 0
3, 80641, 0
1, 80773, 0
2, 80773, 0
0, 80906, 0
1, 81038, 0
2, 81170, 0
3, 81170, 0
1, 81302, 0
0, 81434, 0
3, 81434, 0
2, 81566, 0
1, 81699, 0
0, 81831, 0
3, 81831, 0
0, 82227, 0
3, 82227, 0
1, 82359, 0
2, 82491, 0
3, 82624, 0
2, 82756, 0
0, 82888, 0
1, 83020, 0
3, 83152, 0
0, 83284, 0
2, 83284, 0
1, 83417, 0
3, 83417, 0
0, 83549, 0
2, 83549, 0
1, 83681, 0
0, 83813, 0
2, 83945, 0
3, 83945, 0
0, 84077, 0
1, 84077, 0
2, 84210, 0
1, 84342, 0
3, 84342, 0
0, 84474, 0
2, 84606, 0
3, 84606, 0
1, 84738, 0
0, 84870, 0
2, 85002, 0
3, 85002, 0
1, 85135, 0
0, 85267, 0
1, 85399, 0
2, 85399, 0
3, 85531, 0
0, 85663, 0
2, 85663, 0
1, 85795, 0
3, 85928, 0
2, 86060, 0
0, 86192, 0
1, 86324, 0
2, 86456, 0
3, 86456, 0
0, 86588, 0
1, 86588, 0
2, 86721, 0
0, 86853, 0
3, 86985, 0
2, 87117, 0
0, 87249, 0
3, 87381, 0
2, 87513, 0
1, 87513, 0
0, 87646, 0
3, 87646, 0
1, 87778, 0
2, 87778, 0
0, 87910, 0
3, 88042, 0
1, 88174, 0
0, 88174, 0
2, 88306, 0
3, 88306, 0
1, 88439, 0
0, 88571, 0
3, 88571, 0
2, 88703, 0
1, 88835, 0
2, 88967, 0
0, 89099, 0
2, 89232, 0
1, 89232, 0
3, 89364, 0
1, 89496, 0
2, 89628, 0
0, 89760, 0
2, 89892, 0
3, 89892, 0
1, 90024, 0
0, 90157, 0
3, 90289, 0
1, 90289, 0
2, 90421, 0
3, 90553, 0
0, 90685, 0
2, 90685, 0
1, 90817, 0
2, 90950, 0
3, 90950, 0
1, 91082, 0
0, 91214, 0
2, 91346, 0
3, 91346, 0
1, 91478, 0
2, 91610, 0
0, 91743, 0
3, 91743, 0
1, 91875, 0
2, 91875, 0
0, 92007, 0
3, 92007, 0
1, 92139, 0
2, 92271, 0
0, 92403, 0
3, 92403, 0
2, 92536, 0
1, 92668, 0
0, 92800, 0
3, 92800, 0
2, 92932, 0
1, 93064, 0
3, 93064, 0
0, 93196, 0
3, 93328, 0
0, 93461, 0
2, 93461, 0
1, 93593, 0
2, 93725, 0
0, 93857, 0
3, 93857, 0
1, 93989, 0
2, 94121, 0
3, 94121, 0
0, 94254, 0
1, 94386, 0
0, 94518, 0
3, 94518, 0
2, 94650, 0
1, 94782, 0
0, 94914, 0
3, 94914, 0
2, 95047, 0
1, 95179, 0
0, 95311, 0
2, 95443, 0
3, 95443, 0
1, 95575, 0
0, 95707, 0
3, 95707, 0
2, 95839, 0
0, 95972, 0
1, 95972, 0
2, 96104, 0
0, 96236, 128
3, 96236, 128
1, 97293, 0
0, 98086, 0
1, 98218, 0
0, 98350, 0
2, 98350, 0
3, 98350, 0
1, 99011, 0
2, 99143, 0
0, 99276, 0
1, 99408, 0
1, 100201, 0
0, 100333, 0
2, 100465, 0
0, 102183, 0
1, 102315, 0
2, 102447, 0
3, 102580, 0
0, 103240, 0
1, 103373, 0
3, 103505, 0
2, 103637, 0
1, 104165, 0
2, 104694, 0
3, 105091, 0
0, 105487, 0
0, 106809, 0
2, 106809, 0
3, 106809, 0
1, 107073, 0
0, 107337, 0
2, 107337, 0
1, 107602, 0
2, 107734, 0
3, 107866, 0
1, 108130, 0
0, 108262, 0
1, 108395, 0
2, 108395, 0
0, 108659, 0
1, 108791, 0
2, 108923, 0
3, 108923, 0
1, 109187, 0
0, 109320, 0
2, 109452, 0
1, 109584, 0
0, 109716, 0
3, 109716, 0
2, 109980, 0
1, 110113, 0
0, 110245, 0
2, 110377, 0
1, 110509, 0
3, 110509, 0
0, 110641, 0
1, 110773, 0
2, 110906, 0
0, 111038, 0
1, 111038, 0
3, 111038, 0
2, 111170, 0
1, 111302, 0
3, 111434, 0
0, 111566, 0
1, 111699, 0
2, 111831, 0
0, 111963, 0
2, 112095, 0
3, 112095, 0
1, 112227, 0
2, 112359, 0
3, 112491, 0
0, 112624, 0
2, 112624, 0
1, 112756, 0
0, 112888, 0
3, 112888, 0
0, 113152, 0
1, 113152, 0
3, 113152, 0
2, 113549, 0
3, 113945, 0
1, 115002, 0
2, 115135, 0
0, 115267, 0
1, 115267, 0
3, 115267, 0
1, 115531, 0
2, 115531, 0
0, 115663, 0
3, 115795, 0
2, 115862, 0
1, 115928, 0
0, 115994, 0
3, 116060, 0
2, 116126, 0
1, 116192, 0
0, 116258, 0
2, 116324, 0
3, 116324, 0
0, 116456, 0
1, 116588, 0
3, 116588, 0
2, 116721, 0
0, 116853, 0
1, 116919, 0
2, 116985, 0
3, 117051, 0
0, 117117, 0
1, 117183, 0
2, 117249, 0
3, 117315, 0
0, 117381, 0
1, 117381, 0
2, 117513, 0
0, 117646, 0
1, 117646, 0
3, 117778, 0
0, 117910, 0
1, 117976, 0
3, 118042, 0
2, 118108, 0
0, 118174, 0
1, 118240, 0
3, 118306, 0
2, 118373, 0
0, 118439, 0
1, 118439, 0
3, 118571, 0
1, 118703, 0
2, 118703, 0
0, 118835, 0
3, 118967, 0
2, 119033, 0
0, 119099, 0
1, 119165, 0
3, 119232, 0
2, 119298, 0
0, 119364, 0
1, 119430, 0
2, 119496, 0
3, 119496, 0
1, 119628, 0
0, 119760, 0
3, 119760, 0
2, 119892, 0
1, 120024, 0
0, 120091, 0
2, 120157, 0
3, 120223, 0
1, 120289, 0
0, 120355, 0
2, 120421, 0
3, 120487, 0
0, 120553, 0
1, 120553, 0
2, 120685, 0
0, 120817, 0
3, 120817, 0
1, 120950, 0
2, 121082, 0
3, 121148, 0
1, 121214, 0
0, 121280, 0
2, 121346, 0
3, 121412, 0
1, 121478, 0
0, 121544, 0
2, 121610, 0
3, 121610, 0
1, 121743, 0
0, 121875, 0
3, 121875, 0
2, 122007, 0
0, 122139, 0
1, 122205, 0
2, 122271, 0
3, 122337, 0
1, 122403, 0
0, 122469, 0
2, 122536, 0
3, 122602, 0
0, 122668, 0
1, 122668, 0
2, 122800, 0
1, 122932, 0
3, 122932, 0
0, 123064, 0
3, 123196, 0
2, 123262, 0
1, 123328, 0
0, 123395, 0
3, 123461, 0
2, 123527, 0
0, 123593, 0
1, 123659, 0
2, 123725, 0
3, 123725, 0
0, 123725, 0
1, 123857, 0
0, 123989, 0
2, 123989, 0
3, 124121, 0
0, 124254, 0
1, 124320, 0
3, 124386, 0
2, 124452, 0
0, 124518, 0
1, 124584, 0
2, 124650, 0
3, 124716, 0
0, 124782, 0
1, 124782, 0
2, 124914, 0
0, 125047, 0
3, 125047, 0
1, 125179, 0
2, 125311, 0
3, 125377, 0
1, 125443, 0
0, 125509, 0
3, 125575, 0
2, 125641, 0
1, 125707, 0
0, 125773, 0
2, 125839, 0
3, 125839, 0
1, 125972, 0
0, 126104, 0
3, 126104, 0
2, 126236, 0
0, 126368, 0
1, 126434, 0
3, 126500, 0
2, 126566, 0
0, 126632, 0
1, 126699, 0
2, 126765, 0
3, 126831, 0
0, 126897, 0
1, 126897, 0
2, 127029, 0
0, 127161, 0
3, 127161, 0
1, 127293, 0
2, 127425, 0
3, 127491, 0
0, 127558, 0
1, 127624, 0
2, 127690, 0
3, 127756, 0
0, 127822, 0
1, 127888, 0
2, 127954, 0
3, 127954, 0
1, 128086, 0
2, 128218, 0
0, 128350, 0
3, 128350, 0
1, 128747, 0
2, 128747, 0
3, 128879, 0
0, 129011, 0
1, 129011, 0
2, 129143, 0
0, 129276, 0
3, 129276, 0
1, 129408, 0
2, 129540, 0
1, 129606, 0
0, 129672, 0
3, 129738, 0
2, 129804, 0
1, 129870, 0
0, 129936, 0
3, 130002, 0
1, 130069, 128
2, 130069, 0
0, 130465, 0
2, 130465, 128
1, 130862, 0
3, 130862, 128
2, 131126, 0
0, 131214, 0
1, 131302, 0
2, 131390, 0
0, 131478, 0
1, 131566, 0
2, 131654, 0
0, 131787, 0
1, 131787, 0
2, 132183, 0
3, 132183, 0
0, 132315, 0
1, 132315, 0
0, 132580, 0
3, 132580, 0
1, 132712, 0
2, 132712, 0
1, 132976, 0
3, 132976, 0
0, 133108, 0
2, 133108, 0
0, 133373, 0
3, 133373, 0
1, 133505, 0
2, 133505, 0
2, 133769, 0
3, 133769, 0
0, 133901, 0
1, 133901, 0
1, 134165, 0
2, 134165, 0
0, 134298, 0
3, 134298, 0
1, 134562, 0
3, 134562, 0
0, 134694, 0
2, 134694, 0
0, 134958, 0
1, 134958, 0
2, 135091, 0
3, 135091, 0
0, 135355, 0
2, 135355, 0
1, 135487, 0
3, 135487, 0
0, 135751, 0
1, 135751, 0
2, 135884, 0
3, 135884, 0
0, 136016, 0
1, 136016, 0
2, 136148, 0
3, 136148, 0
0, 136280, 0
1, 136280, 0
1, 136544, 0
2, 136544, 0
0, 136676, 0
3, 136676, 0
0, 136941, 0
2, 136941, 0
1, 137073, 0
3, 137073, 0
0, 137337, 0
1, 137337, 0
2, 137469, 0
3, 137469, 0
1, 137734, 0
3, 137734, 0
0, 137866, 0
2, 137866, 0
0, 138130, 0
3, 138130, 0
1, 138262, 0
2, 138262, 0
0, 138527, 0
2, 138527, 0
1, 138659, 0
3, 138659, 0
0, 138923, 0
3, 138923, 0
1, 139055, 0
2, 139055, 0
2, 139320, 0
3, 139320, 0
0, 139452, 0
1, 139452, 0
0, 139716, 0
3, 139716, 0
1, 139848, 0
2, 139848, 0
0, 139980, 0
3, 139980, 0
1, 140113, 0
2, 140113, 0
0, 140245, 0
3, 140245, 0
1, 140377, 0
2, 140377, 0
0, 140509, 0
3, 140509, 0
0, 141699, 0
2, 141699, 0
3, 141699, 0
1, 142756, 0
1, 143896, 0
2, 143989, 0

#Hard:
0, 3196, 5
1, 3196, 0
3, 3196, 0
2, 3461, 0
3, 3593, 0
0, 4254, 0
2, 4254, 0
1, 4650, 0
3, 4650, 0
0, 5047, 0
